Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\PCB\switching_noise_board\Project Outputs for switching_noise_board\Pick Place for switching_noise_board.csv

========================================================================================================================
File Design Information:

Date:       09/02/22
Time:       23:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U3","74HC14D,653","TopLayer","HEX_74AC14","2340.000","560.000","0","Inverter IC 6 Channel Schmitt Trigger 14-SOIC"
"U2","74HC14D,653","TopLayer","HEX_74AC14","525.000","615.000","0","Inverter IC 6 Channel Schmitt Trigger 14-SOIC"
"U1","LMC555CMX/NOPB","TopLayer","TS555IDTTR","2715.000","1665.000","180","555 Type, Timer/Oscillator _Single_ IC 3MHz 8-SO"
"TP9","Hex_OUT_good","TopLayer","TP10x_Probe","3200.000","170.000","0","Test Point 300 mil centers"
"TP8","Q-HI-good","TopLayer","TP10x_Probe","2650.000","170.000","0","Test Point 300 mil centers"
"TP7","Q-LO-good","TopLayer","TP10x_Probe","2095.000","170.000","0","Test Point 300 mil centers"
"TP6","Hex_OUT_bad","TopLayer","TP10x_Probe","1415.000","170.000","0","Test Point 300 mil centers"
"TP5","Q-HI-bad","TopLayer","TP10x_Probe","875.000","170.000","0","Test Point 300 mil centers"
"TP4","Q-LO-bad","TopLayer","TP10x_Probe","315.000","170.000","0","Test Point 300 mil centers"
"TP3","TP_3v3","TopLayer","TP10x_Probe","1605.000","1630.000","90","Test Point 300 mil centers"
"TP2","TP_5V","TopLayer","TP10x_Probe","300.000","1390.000","180","Test Point 300 mil centers"
"TP1","TP_555_Output","TopLayer","TP10x_Probe","3360.000","1645.000","90","Test Point 300 mil centers"
"SW3","SW_555_Good_layout","TopLayer","2Pin-Header-Conn","1945.000","595.000","270","2Pin Header"
"SW2","SW_555_Bad_layout","TopLayer","2Pin-Header-Conn","165.000","595.000","270","2Pin Header"
"SW1","SW_555off/on","TopLayer","2Pin-Header-Conn","1935.473","1820.000","0","2Pin Header"
"R13","47 Ohms","TopLayer","0402_Passive_Resistor","3120.000","410.000","180","CHIP RESISTOR - SURFACE MOUNT 47OHMS ±1% 1/16W 0402 ROHS"
"R12","47 Ohms","TopLayer","0402_Passive_Resistor","1350.000","465.000","180","CHIP RESISTOR - SURFACE MOUNT 47OHMS ±1% 1/16W 0402 ROHS"
"R11","47 Ohms","TopLayer","0402_Passive_Resistor","3120.000","510.000","180","CHIP RESISTOR - SURFACE MOUNT 47OHMS ±1% 1/16W 0402 ROHS"
"R10","47 Ohms","TopLayer","0402_Passive_Resistor","1350.000","565.000","180","CHIP RESISTOR - SURFACE MOUNT 47OHMS ±1% 1/16W 0402 ROHS"
"R9","47 Ohms","TopLayer","0402_Passive_Resistor","3120.000","610.000","180","CHIP RESISTOR - SURFACE MOUNT 47OHMS ±1% 1/16W 0402 ROHS"
"R8","47 Ohms","TopLayer","0402_Passive_Resistor","1350.000","665.000","180","CHIP RESISTOR - SURFACE MOUNT 47OHMS ±1% 1/16W 0402 ROHS"
"R7","10k","TopLayer","0402_Passive_Resistor","2990.000","725.000","180","CHIP RESISTOR - SURFACE MOUNT 10KOHMS ±1% 1/16W 0402 ROHS"
